Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,813.530,1,6,6,0,0,1.000,0.639,88,45,7.167,1.000,17,0
Sesquidistus,687.900,2,2,2,0,0,1.000,0.333,29,20,4.500,1.000,10,0
Glasgow Ultimate,476.190,1,6,6,0,0,1.000,0.389,77,40,6.167,2.000,7,0
Mosquitos,411.910,1,6,5,1,0,0.833,0.611,79,60,3.167,1.000,14,0
Cus Padova Rangərs,383.210,1,6,5,1,0,0.833,0.500,78,47,5.167,1.000,17,0
Deep Space,349.960,1,6,4,2,0,0.667,0.583,78,56,3.667,1.000,14,0
PUC,289.220,3,9,6,3,0,0.667,0.537,113,83,3.333,1.000,18,0
PELT,234.720,1,6,4,2,0,0.667,0.611,70,59,1.833,2.000,7,0
Manchots,234.290,1,1,0,1,0,0.000,1.000,10,15,-5.000,1.000,2,0
Nullacht! Ultimate,111.350,1,6,3,3,0,0.500,0.417,75,52,3.833,2.000,7,0
Heroes Flying Disc,101.920,1,6,3,3,0,0.500,0.556,66,65,0.167,1.000,14,0
Sky This Warszawa,61.790,1,6,5,1,0,0.833,0.389,73,66,1.167,2.000,7,0
Malmö Ultimate Club,21.490,1,6,3,3,0,0.500,0.611,64,63,0.167,2.000,7,0
BN1,14.780,1,6,3,3,0,0.500,0.500,73,65,1.333,1.000,17,0
Frubb,-5.010,1,6,4,2,0,0.667,0.472,75,71,0.667,1.000,14,0
OUT,-22.760,1,6,3,3,0,0.500,0.444,67,62,0.833,1.000,14,0
Savage Ultimate,-69.120,1,6,2,4,0,0.333,0.472,61,67,-1.000,2.000,7,0
Colorado,-83.190,1,6,2,4,0,0.333,0.472,65,65,0.000,1.000,17,0
Remix,-92.920,1,3,1,2,0,0.333,0.444,32,31,0.333,1.000,9,0
Glory Owls,-246.910,1,3,1,2,0,0.333,0.444,30,40,-3.333,1.000,9,0
The Owls,-340.160,1,6,2,4,0,0.333,0.528,46,73,-4.500,1.000,14,0
Nuclear Discs,-399.380,1,6,1,5,0,0.167,0.472,52,72,-3.333,1.000,14,0
Wiener Mischung,-401.020,1,6,0,6,0,0.000,0.583,48,87,-6.500,2.000,7,0
DTU,-423.990,1,6,1,5,0,0.167,0.528,43,77,-5.667,2.000,7,0
W.underteam,-443.220,1,6,2,4,0,0.333,0.389,40,78,-6.333,1.000,17,0
AKS Zły Ultimate,-520.610,1,6,1,5,0,0.167,0.361,56,76,-3.333,1.000,17,0
Zombees,-851.020,1,6,0,6,0,0.000,0.444,34,87,-8.833,1.000,14,0
