Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tiefseetaucher,638.590,3,11,11,0,0,1.000,0.516,163,75,8.000,1.000,30,1
Deep Space,478.770,4,21,18,3,0,0.857,0.534,275,199,3.619,1.000,33,1
Sesquidistus,460.280,4,11,9,2,0,0.818,0.467,154,109,4.091,1.000,30,1
Leamington Lemmings,424.250,3,14,9,5,0,0.643,0.600,171,151,1.429,1.000,28,0
Reading Ultimate,346.170,3,14,8,6,0,0.571,0.550,174,157,1.214,1.000,27,0
Mosquitos,296.570,2,10,9,1,0,0.900,0.515,137,94,4.300,1.000,33,1
Tartu Turbulence,196.110,2,9,4,5,0,0.444,0.547,112,110,0.222,1.000,29,0
Disconnection,180.260,3,11,3,8,0,0.273,0.644,131,142,-1.000,1.000,27,0
Glasgow Ultimate,177.010,3,11,6,5,0,0.545,0.500,119,96,2.091,1.000,30,1
PELT,175.720,2,10,7,3,0,0.700,0.448,126,92,3.400,1.000,31,1
Nullacht! Ultimate,145.210,3,15,8,7,0,0.533,0.482,186,160,1.733,1.000,31,1
PUC,138.210,4,10,7,3,0,0.700,0.454,128,91,3.700,1.000,28,0
Manchots,121.020,2,7,2,5,0,0.286,0.586,81,96,-2.143,1.000,22,0
Cus Padova Rangərs,106.880,3,9,6,3,0,0.667,0.444,108,72,4.000,1.000,25,0
Heck,82.980,3,8,4,4,0,0.500,0.616,74,96,-2.750,1.000,30,0
Sky This Warszawa,-5.640,2,10,8,2,0,0.800,0.410,119,106,1.300,1.000,29,0
Savage Ultimate,-44.890,2,10,5,5,0,0.500,0.420,112,103,0.900,1.000,30,1
BN1,-113.680,3,13,4,9,0,0.308,0.562,129,153,-1.846,1.000,32,1
Malmö Ultimate Club,-126.490,2,9,4,5,0,0.444,0.511,90,93,-0.333,1.000,28,0
Heroes Flying Disc,-154.450,2,10,3,7,0,0.300,0.604,101,113,-1.200,1.000,32,1
OUT,-211.260,2,9,4,5,0,0.444,0.408,100,95,0.556,1.000,30,0
Zoom Ultimate,-224.170,4,8,5,3,0,0.625,0.396,73,79,-0.750,1.000,29,0
Remix,-230.880,4,8,3,5,0,0.375,0.538,79,93,-1.750,1.000,27,0
Colorado,-253.890,2,9,2,7,0,0.222,0.540,88,105,-1.889,1.000,28,0
Frubb,-267.500,2,8,4,4,0,0.500,0.466,85,100,-1.875,1.000,32,0
The Owls,-363.550,3,12,4,8,0,0.333,0.534,105,148,-3.583,1.000,31,1
KS Flow Wrocław,-393.730,1,4,1,3,0,0.250,0.463,40,50,-2.500,1.000,18,0
Wiener Mischung,-433.920,2,9,1,8,0,0.111,0.492,72,129,-6.333,1.000,28,0
Steamhuck,-459.790,3,8,2,6,0,0.250,0.541,65,92,-3.375,1.000,22,0
DTU,-465.180,1,6,1,5,0,0.167,0.489,43,77,-5.667,1.000,23,0
Fireball Ultimate,-584.780,1,1,0,1,0,0.000,0.250,6,7,-1.000,1.000,6,0
W.underteam,-640.000,1,6,2,4,0,0.333,0.301,40,78,-6.333,1.000,26,0
Nuclear Discs,-656.840,1,6,1,5,0,0.167,0.374,52,72,-3.333,1.000,23,0
AKS Zły Ultimate,-691.530,2,9,1,8,0,0.111,0.387,67,119,-5.778,1.000,29,0
Zombees,-1051.590,1,6,0,6,0,0.000,0.370,34,87,-8.833,1.000,21,0
